Symbol,Security Name,Exchange
AHCO,AdaptHealth Corp.  - Class A Common Stock,NASDAQ
AHPI,"Allied Healthcare Products, Inc. - Common Stock",NASDAQ
AIA,iShares Asia 50 ETF,NASDAQ
AIH,Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,NASDAQ
AIHS,Senmiao Technology Limited - Common Stock,NASDAQ
AIKI,AIkido Pharma Inc. - Common Stock,NASDAQ
AIMC,Altra Industrial Motion Corp. - Common Stock,NASDAQ
AINV,Apollo Investment Corporation - Closed End Fund,NASDAQ
AIQ,Global X Artificial Intelligence & Technology ETF,NASDAQ
AIRG,"Airgain, Inc. - Common Stock",NASDAQ
AIRR,First Trust RBA American Industrial Renaissance ETF,NASDAQ
AIRT,"Air T, Inc. - Common Stock",NASDAQ
AIRTP,"Air T, Inc. - Trust Preferred Securities",NASDAQ
AIRTW,"Air T, Inc. - Air T Funding Warrants to Purchase Trust Preferred",NASDAQ
AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAQ
AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ
AKER,Akers Biosciences Inc. - Common Stock,NASDAQ
AKICU,Sports Ventures Acquisition Corp. - Unit,NASDAQ
AKRO,"Akero Therapeutics, Inc. - Common Stock",NASDAQ
AKTS,"Akoustis Technologies, Inc. - Common Stock",NASDAQ
AKTX,Akari Therapeutics Plc - American Depositary Shares,NASDAQ
AKU,Akumin Inc. - Common Shares,NASDAQ
AKUS,"Akouos, Inc. - Common Stock",NASDAQ
ALBO,"Albireo Pharma, Inc. - Common Stock",NASDAQ
ALCO,"Alico, Inc. - Common Stock",NASDAQ
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",NASDAQ
ALEC,"Alector, Inc. - Common Stock",NASDAQ
ALGM,"Allegro MicroSystems, Inc. - Common Stock",NASDAQ
ALGN,"Align Technology, Inc. - Common Stock",NASDAQ
ALGS,"Aligos Therapeutics, Inc. - Common stock",NASDAQ
ALGT,Allegiant Travel Company - Common Stock,NASDAQ
ALIM,"Alimera Sciences, Inc. - Common Stock",NASDAQ
ALJJ,"ALJ Regional Holdings, Inc. - Common Stock",NASDAQ
ALKS,Alkermes plc - Ordinary Shares,NASDAQ
ALLK,Allakos Inc. - Common Stock,NASDAQ
ALLO,"Allogene Therapeutics, Inc. - Common Stock",NASDAQ
ALLT,Allot Ltd. - Ordinary Shares,NASDAQ
ALNA,"Allena Pharmaceuticals, Inc. - Common Stock",NASDAQ
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",NASDAQ
ALOT,"AstroNova, Inc. - Common Stock",NASDAQ
ALPN,"Alpine Immune Sciences, Inc. - Common Stock",NASDAQ
ALRM,"Alarm.com Holdings, Inc. - Common Stock",NASDAQ
ALRN,"Aileron Therapeutics, Inc. - Common Stock",NASDAQ
ALRS,Alerus Financial Corporation - Common Stock,NASDAQ
ALSK,"Alaska Communications Systems Group, Inc. - Common Stock",NASDAQ
ALT,"Altimmune, Inc. - Common Stock",NASDAQ
ALTA,Altabancorp - Common Stock,NASDAQ
ALTM,Altus Midstream Company - Class A Common Stock,NASDAQ
ALTO,"Alto Ingredients, Inc. - Common Stock",NASDAQ
ALTR,Altair Engineering Inc. - Class A Common Stock,NASDAQ
ALTU,Altitude Acquisition Corp. - Class A Common Stock,NASDAQ
ALTUU,Altitude Acquisition Corp. - Unit,NASDAQ
ALTUW,Altitude Acquisition Corp. - Warrant,NASDAQ
ALTY,Global X SuperDividend Alternatives ETF,NASDAQ
ALVR,"AlloVir, Inc. - Common Stock",NASDAQ
ALXN,"Alexion Pharmaceuticals, Inc. - Common Stock",NASDAQ
ALXO,ALX Oncology Holdings Inc. - Common Stock,NASDAQ
ALYA,Alithya Group inc. - Class A subordinate voting shares,NASDAQ
AMAL,Amalgamated Bank - Class A Common Stock,NASDAQ
AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ
AMBA,"Ambarella, Inc. - Ordinary Shares",NASDAQ
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,NASDAQ
AMCX,AMC Networks Inc. - Class A Common Stock,NASDAQ
AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ
AMED,Amedisys Inc - Common Stock,NASDAQ
AMEH,"Apollo Medical Holdings, Inc. - Common Stock",NASDAQ
AMGN,Amgen Inc. - Common Stock,NASDAQ
AMHC,Amplitude Healthcare Acquisition Corporation - Class A Common Stock,NASDAQ
AMHCU,Amplitude Healthcare Acquisition Corporation - Unit,NASDAQ
AMHCW,Amplitude Healthcare Acquisition Corporation - Warrant,NASDAQ
AMKR,"Amkor Technology, Inc. - Common Stock",NASDAQ
AMNB,"American National Bankshares, Inc. - Common Stock",NASDAQ
AMOT,"Allied Motion Technologies, Inc. - Common Stock",NASDAQ
AMPG,"Amplitech Group, Inc. - Common Stock",NASDAQ
AMPGW,"Amplitech Group, Inc. - Warrants",NASDAQ
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",NASDAQ
AMRB,American River Bankshares - Common Stock,NASDAQ
AMRK,"A-Mark Precious Metals, Inc. - Common Stock",NASDAQ
AMRN,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",NASDAQ
AMRS,"Amyris, Inc. - Common Stock",NASDAQ
AMSC,American Superconductor Corporation - Common Stock,NASDAQ
AMSF,"AMERISAFE, Inc. - Common Stock",NASDAQ
AMST,Amesite Inc. - Common Stock,NASDAQ
AMSWA,"American Software, Inc. - Class A Common Stock",NASDAQ
AMTB,Amerant Bancorp Inc. - Class A Common Stock,NASDAQ
AMTBB,Amerant Bancorp Inc. - Class B Common Stock,NASDAQ
AMTI,Applied Molecular Transport Inc. - common stock,NASDAQ
AMTX,"Aemetis, Inc - Common Stock",NASDAQ
AMWD,American Woodmark Corporation - Common Stock,NASDAQ
AMYT,Amryt Pharma plc - American Depositary Shares,NASDAQ
AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ
ANAB,"AnaptysBio, Inc. - Common Stock",NASDAQ
ANAT,"American National Group, Inc. - Common Stock",NASDAQ
ANCN,Anchiano Therapeutics Ltd. - American Depositary Shares,NASDAQ
ANDA,Andina Acquisition Corp. III - Ordinary Shares,NASDAQ
ANDAR,Andina Acquisition Corp. III - Right,NASDAQ
ANDAU,Andina Acquisition Corp. III - Unit,NASDAQ
ANDAW,Andina Acquisition Corp. III - Warrant,NASDAQ
ANDE,"The Andersons, Inc. - Common Stock",NASDAQ
ANGI,ANGI Homeservices Inc. - Class A Common Stock,NASDAQ
ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,NASDAQ
ANGN,Angion Biomedica Corp. - Common Stock,NASDAQ
ANGO,"AngioDynamics, Inc. - Common Stock",NASDAQ
ANIK,Anika Therapeutics Inc. - Common Stock,NASDAQ
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",NASDAQ
ANIX,"Anixa Biosciences, Inc. - Common Stock",NASDAQ
ANNX,"Annexon, Inc. - common stock",NASDAQ
ANSS,"ANSYS, Inc. - Common Stock",NASDAQ
ANTE,"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",NASDAQ
ANY,Sphere 3D Corp. - Common Shares,NASDAQ
AOSL,Alpha and Omega Semiconductor Limited - Common Shares,NASDAQ
